"","title","organism","platform","source"
"GSM1723397","C57BL/6 sipnal cord, biological rep1","Mus musculus","GPL6246","C57BL/6 lesioned spinal cord, 24 hours after injury"
"GSM1723398","C57BL/6 sipnal cord, biological rep2","Mus musculus","GPL6246","C57BL/6 lesioned spinal cord, 24 hours after injury"
"GSM1723399","C57BL/6 sipnal cord, biological rep3","Mus musculus","GPL6246","C57BL/6 lesioned spinal cord, 24 hours after injury"
"GSM1723400","C57BL/6 sipnal cord, biological rep4","Mus musculus","GPL6246","C57BL/6 lesioned spinal cord, 24 hours after injury"
"GSM1723401","Il1a KO sipnal cord, biological rep1","Mus musculus","GPL6246","Il1a KO lesioned spinal cord, 24 hours after injury"
"GSM1723402","Il1a KO sipnal cord, biological rep2","Mus musculus","GPL6246","Il1a KO lesioned spinal cord, 24 hours after injury"
"GSM1723403","Il1a KO sipnal cord, biological rep3","Mus musculus","GPL6246","Il1a KO lesioned spinal cord, 24 hours after injury"
"GSM1723404","Il1a KO sipnal cord, biological rep4","Mus musculus","GPL6246","Il1a KO lesioned spinal cord, 24 hours after injury"
"GSM1723405","Il1b KO sipnal cord, biological rep1","Mus musculus","GPL6246","Il1b KO lesioned spinal cord, 24 hours after injury"
"GSM1723406","Il1b KO sipnal cord, biological rep2","Mus musculus","GPL6246","Il1b KO lesioned spinal cord, 24 hours after injury"
"GSM1723407","Il1b KO sipnal cord, biological rep3","Mus musculus","GPL6246","Il1b KO lesioned spinal cord, 24 hours after injury"
"GSM1723408","Il1b KO sipnal cord, biological rep4","Mus musculus","GPL6246","Il1b KO lesioned spinal cord, 24 hours after injury"
