"","title","organism","platform","source"
"GSM227407","Liver from Nrf2 k.o. mice, biological replicate 1","Mus musculus","GPL1261","Liver, Nrf2 deficient"
"GSM227408","Liver from Nrf2 k.o. mice, biological replicate 2","Mus musculus","GPL1261","Liver, Nrf2 deficient"
"GSM227409","Liver from Nrf2 k.o. mice, biological replicate 3","Mus musculus","GPL1261","Liver, Nrf2 deficient"
"GSM227410","Liver from Nrf2 wt mice, biological replicate 1","Mus musculus","GPL1261","Liver, wt control"
"GSM227411","Liver from Nrf2 wt mice, biological replicate 2","Mus musculus","GPL1261","Liver, wt control"
"GSM227412","Liver from Nrf2 wt mice, biological replicate 3","Mus musculus","GPL1261","Liver, wt control"
