"","title","organism","platform","source"
"GSM4405436","wild-type biological rep 1","Mus musculus","GPL6246","E13.5 embryo"
"GSM4405437","LKB1 KO biological rep 1","Mus musculus","GPL6246","E13.5 embryo"
"GSM4405438","wild-type biological rep 2","Mus musculus","GPL6246","E13.5 embryo"
"GSM4405439","LKB1 KO biological rep 2","Mus musculus","GPL6246","E13.5 embryo"
"GSM4405440","wild-type biological rep 3","Mus musculus","GPL6246","E13.5 embryo"
"GSM4405441","LKB1 KO biological rep 3","Mus musculus","GPL6246","E13.5 embryo"
"GSM4405442","wild-type biological rep 4","Mus musculus","GPL6246","E13.5 embryo"
"GSM4405443","LKB1 KO biological rep 4","Mus musculus","GPL6246","E13.5 embryo"
"GSM4405444","wild-type biological rep 5","Mus musculus","GPL6246","E13.5 embryo"
"GSM4405445","LKB1 KO biological rep 5","Mus musculus","GPL6246","E13.5 embryo"
