"","title","organism","platform","source"
"GSM862835","transgene strong 1","Mus musculus","GPL1261","whole skin"
"GSM862836","transgene strong 2","Mus musculus","GPL1261","whole skin"
"GSM862837","transgene strong 3","Mus musculus","GPL1261","whole skin"
"GSM862838","wildtype strong 1","Mus musculus","GPL1261","whole skin"
"GSM862839","wildtype strong 2","Mus musculus","GPL1261","whole skin"
"GSM862840","wildtype strong 3","Mus musculus","GPL1261","whole skin"
